ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2013-05-31;;01;SCLHAF1;FM62S027R8V617MJEM1;20130531;8;4;AB;;5;1335;1820;;4425;1785;1477;02;1598;77;4;true;;Audi;A3 SPORTBACK Viistoperä (AB) 4ov 1598cm3;1;6;A3 SPORTBACK;05;e1*2007/46*0607*08;02;092;99;89705;013;WAUZZZ8V3D;4226750
M1;2013-05-30;;01;4C5FS*;4C5FS9/1;20130530;8;4;AF;;5;1438;1835;;4276;1821;1519;01;1598;88;4;false;;Peugeot;308 Monikäyttöajoneuvo (AF) 4ov 1598cm3 A;2;4;308;05;e2*01/116*0362*36;01;092;159;32673;017;VF34C5FS9D;4230544
M1;2013-06-07;;01;ABCHYB;FM5FM5CF0047MGVR2N1FA1VW;20130607;9;5;AB;;4;940;1290;;3543;1645;1504;01;999;55;3;false;;Volkswagen, VW;UP! Viistoperä (AB) 5ov 999cm3;1;5;UP!;05;e13*2007/46*1167*07;01;091;98;20198;007;WVWZZZAAZD;4234635
M1;2013-07-22;;01;NJ51;04;20060602;8;4;AC;;5;1760;2285;2285;4840;1850;1490;02;2497;120;6;true;false;BMW;525d Farmari (AC) 4ov 2497cm3 A;2;;525d;05;e1*01/116*0230*07;02;092;213;131356;016;WBANJ51030;4237907
M1;2013-06-20;;01;NSP13F(MH);NSP130L-CHFNKW(4E);20130620;2;4;AF;;5;1100;1470;;3885;1695;1510;01;1329;73;4;false;;Toyota;TOYOTA YARIS Monikäyttöajoneuvo (AF) 4ov 1329cm3;1;6;TOYOTA YARIS;05;e11*2007/46*0152*04;01;423;123;71385;213;VNKKJ3D390;4241428
M1;2013-06-19;;01;F5P71;M51AZ1;20130619;9;4;AF;;5;1102;1515;;3995;1710;1490;01;1248;62.5;4;false;;Hyundai;i20 Monikäyttöajoneuvo (AF) 4ov 1248cm3;1;5;i20;05;e11*2007/46*0129*03;01;092;114;13726;016;NLHBA51BAD;4244776
M1;2013-06-19;;01;7J5FS;7FJ5FS0;20100412;9;5;AF;1;5;1480;2000;2000;4380;1810;1801;01;1598;88;4;false;false;Citroen;BERLINGO Monikäyttöajoneuvo (AF) 5ov 1598cm3;1;5;BERLINGO;05;e2*2001/116*0366*05;01;529;169;147736;211;VF77J5FS0A;4248275
M1;2013-09-09;;01;BV91;31;20040426;6;2;AD;;5;1615;2040;2040;4490;1760;1370;02;2993;150;6;true;false;BMW;330Cd Coupé (AD) 2ov 2993cm3;;;330Cd;05;e1*2001/116*0112*12;02;297;177;197249;701;WBABV91080;4252278
M1;2013-07-09;;01;BW88;BW8880??;20130709;9;4;AC;;5;1812;2310;;4814;1876;1547;02;1984;120;5;true;;Volvo;V70 Farmari (AC) 4ov 1984cm3 A;2;6;V70;05;e9*01/116*0065*23;02;543;130;145775;018;YV1BW8880E;4255580
M1;2014-04-25;;01;526;61W0;20140425;8;4;AA;;5;1447;1935;;4870;1840;1450;01;1998;107;4;false;;Mazda;MAZDA6 Sedan (AA) 4ov 1998cm3;1;6;MAZDA6;05;e1*01/116*0448*15;01;286;129;41010;451;JMZGJ52661;4259069
M1;2013-08-14;;01;AACHPAX0;NFD7FD7CW002STVL7;20130814;1;4;AA;;5;1270;1820;;4781;1814;1481;01;1395;103;4;true;;Skoda;OCTAVIA Sedan (AA) 4ov 1395cm3 A;2;7;OCTAVIA;05;e11*2007/46*0243*04;01;604;116;57699;339;TMBAC7NE5E;4262534
M1;2013-08-07;;01;ZRE185(W);ZRE185L-DWFNPW(2R);20130807;9;4;AC;;5;1280;1835;;4560;1760;1475;01;1598;97;4;false;;Toyota;TOYOTA AURIS Farmari (AC) 4ov 1598cm3;1;6;TOYOTA AURIS;05;e11*01/116*0305*15;01;286;140;58244;453;SB1ZE3JEX0;4265801
M1;2015-01-15;;01;SJ5;510;20140429;0;4;AC;;5;1582;2015;2015;4595;1795;1735;01;1995;110;4;false;false;Subaru;FORESTER Farmari (AC) 4ov 1995cm3;3;;FORESTER;05;e13*2007/46*1305*00;01;244;150;58159;904;JF1SJ5LC5D;4269113
M1;2013-09-13;;01;ABCBZC;FM5FM52T106LLEVR27MJ;20130913;9;5;AB;;5;1107;1580;1580;4064;1682;1488;01;1197;66;4;true;false;Volkswagen, VW;POLO Viistoperä (AB) 5ov 1197cm3;1;5;POLO;05;e1*01/116*0510*16;01;834;113;107803;313;WVWZZZ6RZE;4272164
M1;2013-08-20;;01;ZRE185(W);ZRE185L-DWXNPW(2R);20130820;8;4;AC;;5;1300;1860;;4560;1760;1475;01;1598;97;4;false;;Toyota;TOYOTA AURIS Viistoperä (AB) 4ov 1598cm3;3;;TOYOTA AURIS;05;e11*01/116*0305*15;01;049;139;27659;027;SB1ZE3JE30;4275817
M1;2013-08-23;;01;ACCXSAX0;FD7FD7CW001N7MJOMLVR2;20130823;6;5;AC;;5;1350;1880;;4657;1799;1496;01;1395;90;4;true;;Volkswagen, VW;GOLF Farmari (AC) 5ov 1395cm3 A;2;7;GOLF;05;e1*2007/46*0627*03;01;049;118;;021;WVWZZZAUZE;4279185
M1;2013-12-05;;01;JMXXAXX;A44PAX4X44B;20131205;1;4;AF;;5;1520;1879;;4278;1764;1735;01;1364;103;4;true;;Opel;MOKKA Monikäyttöajoneuvo (AF) 4ov 1364cm3;1;6;MOKKA;05;e4*2007/46*0537*04;01;075;149;17220;494;W0LJC7E85E;4282670
M1;2013-11-15;;01;BW31;BW3180??;20131115;8;4;AC;;5;1812;2310;;4814;1876;1547;02;1984;100;5;true;;Volvo;V70 Farmari (AC) 4ov 1984cm3 A;2;6;V70;05;e9*01/116*0065*23;02;746;130;139726;854;YV1BW3180E;4285741
M1;2013-09-30;;01;ACCFGBX11;NAD6AD62E0837;20130930;1;4;AC;;5;1656;2219;;4932;1817;1529;02;1968;125;4;true;;Skoda;SUPERB Farmari (AC) 4ov 1968cm3 A;2;6;SUPERB;05;e11*01/116*0326*27;02;091;149;81261;002;TMBLF73TXE;4289088
M1;2013-10-14;;01;M1DA1K;5CGALC;20131014;2;4;AB;;5;1332;1900;;4513;1823;1484;01;998;92;3;true;;Ford;FOCUS Viistoperä (AB) 4ov 998cm3;1;6;FOCUS;05;e13*2007/46*1138*10;01;837;114;30864;331;WF0KXXGCBK;4292251
M1;2013-10-25;;01;ACCJSBX1;NAD6AD6D9004S1ML7;20131025;9;4;AC;;5;1450;2013;;4775;1814;1510;01;1798;132;4;true;;Skoda;OCTAVIA Farmari (AC) 4ov 1798cm3 A;2;6;OCTAVIA;05;e11*2007/46*0243*05;01;186;156;29884;044;TMBLD7NE7E;4295542
M1;2013-10-23;;01;ZRE185(W);ZRE185L-DWFNPW(2R);20131023;2;4;AC;;5;1280;1835;;4560;1760;1475;01;1598;97;4;false;;Toyota;TOYOTA AURIS Farmari (AC) 4ov 1598cm3;1;6;TOYOTA AURIS;05;e11*01/116*0305*15;01;285;140;32808;487;SB1ZE3JE00;4298376
M1;2014-01-10;;01;CAHKC12;BA1N1FPCA5;20140110;8;5;AB;;5;1701;2160;;4842;1856;1498;02;1956;103;4;true;;Opel;INSIGNIA LIMOUSINE HB Viistoperä (AB) 5ov 1956cm3;1;6;INSIGNIA LIMOUSINE HB;05;e1*2007/46*0374*10;02;581;99;39315;397;W0LGM6ES1E;4301459
M1;2013-10-25;;01;CAHKC12;BA1N1FPCA5;20131025;5;5;AB;;5;1701;2160;;4842;1856;1498;02;1956;103;4;true;;Opel;INSIGNIA LIMOUSINE HB Viistoperä (AB) 5ov 1956cm3;1;6;INSIGNIA LIMOUSINE HB;05;e1*2007/46*0374*10;02;109;99;78487;169;W0LGM6ESXE;4304535
M1;2013-11-26;;01;AS31;AS3180??;20131126;9;4;AA;;5;1720;2200;;4854;1876;1493;02;1984;100;5;true;;Volvo;S80 Sedan (AA) 4ov 1984cm3 A;2;6;S80;05;e9*01/116*0057*25;02;140;129;189897;;YV1AS3180E;4307503
M1;2013-12-31;;01;BXZ1A;51G;20131231;2;4;AF;;5;1105;1590;;4030;1687;1490;01;1242;51;4;false;;Fiat;FIAT PUNTO Monikäyttöajoneuvo (AF) 4ov 1242cm3;1;5;FIAT PUNTO;05;e3*01/116*0217*24;01;286;126;47570;469;ZFA1990000;4310692
M1;2014-01-09;;01;JZ09;JZ09B3;20140109;9;4;AF;;7;1597;2230;;4573;1845;1675;02;1461;81;4;true;;Renault;MEGANE SCENIC Monikäyttöajoneuvo (AF) 4ov 1461cm3 A;2;6;MEGANE SCENIC;05;e2*01/116*0379*31;02;182;124;98714;358;VF1JZ09B34;4313828
M1;2013-11-08;;01;ACCJZAX0;FD7FD7CW001N7MJOVLVR2;20131108;8;5;AC;;5;1324;1860;;4657;1799;1496;01;1197;77;4;true;;Volkswagen, VW;GOLF Farmari (AC) 5ov 1197cm3 A;2;7;GOLF;05;e1*2007/46*0627*04;01;398;115;18841;151;WVWZZZAUZE;4316766
M1;2014-07-16;;01;B;B01;20140716;9;4;AF;;5;1132;1510;;4100;1695;1535;01;1198;59;3;false;;Nissan;NISSAN NOTE Monikäyttöajoneuvo (AF) 4ov 1198cm3;1;5;NISSAN NOTE;05;e11*2007/46*0753*00;01;398;109;45794;155;SJNTAAE12U;4319931
M1;2014-03-07;;02;J2S2M0;NZCCB501;20140307;8;5;AC;;5;1845;2440;;4918;1873;1511;02;2143;125;4;true;;Mercedes-Benz;E 220 CDI Farmari (AC) 5ov 2143cm3 A;2;7;E 220 CDI;05;e1*2007/46*0200*18;02;423;140;278872;214;WDD2122021;4323139
M1;2013-12-03;;01;AACFFBX01;NFD6FD62E0187;20131203;2;4;AA;;5;1554;2117;;4932;1817;1497;02;1968;103;4;true;;Skoda;SUPERB Sedan (AA) 4ov 1968cm3 A;2;6;SUPERB;05;e11*01/116*0326*28;02;853;135;270637;206;TMBAE93T5E;4326018
M1;2014-06-27;;01;3D51;5A250000;20140627;0;4;AA;;5;1595;2060;;4624;1811;1434;02;1995;135;4;true;;BMW;320d xDRIVE Sedan (AA) 4ov 1995cm3 A;2;8;320d xDRIVE;05;e1*2007/46*0314*12;02;149;125;115003;102;WBA3D51040;4329307
M1;2014-02-21;;01;M1DA1L;5CGAMC;20140221;1;4;AC;;5;1316;1900;;4709;1823;1505;01;998;92;3;true;;Ford;FOCUS Farmari (AC) 4ov 998cm3;1;6;FOCUS;05;e13*2007/46*1138*10;01;444;117;99057;081;WF0LXXGCBL;4332267
M1;2013-12-04;;01;Y23JK2;FZAAA500;20080807;9;4;AC;1;5;1405;1880;1880;4263;1770;1593;01;2034;142;4;true;false;Mercedes-Benz;B 200 TURBO Farmari (AC) 4ov 2034cm3;3;;B 200 TURBO;05;e1*01/116*0314*04;01;577;195;116876;215;WDD2452341;4334969
M1;2014-06-17;;01;B22S;MT1;20140617;8;5;AB;;5;1245;1730;;4400;1765;1580;01;1586;88;4;false;;Suzuki;SX4 Viistoperä (AB) 5ov 1586cm3;1;5;SX4;05;e4*2007/46*0779*01;01;426;135;63543;831;TSMJYB22S0;4338106
M1;2014-01-03;;01;AACHHBX0;NFM6FM62Q037V2ML7;20140103;6;4;AA;;5;1425;1892;;4788;1814;1469;01;1984;162;4;true;;Skoda;OCTAVIA Sedan (AA) 4ov 1984cm3;1;6;OCTAVIA;05;e11*2007/46*0243*07;01;853;142;70503;206;TMBAE7NE6E;4341242
M1;2014-05-23;;01;SCJXCQ1;QD6D9006R8V817MMEM1;20140107;9;4;AB;;5;1520;2005;2005;4425;1785;1477;01;1984;221;4;true;false;Audi;S3 SPORTBACK Viistoperä (AB) 4ov 1984cm3 A;2;6;S3 SPORTBACK;05;e1*2007/46*0607*11;01;276;159;68447;811;WAUZZZ8V2E;4344179
M1;2014-01-27;;01;PNCFB*;PNCFB0/P;20140127;0;4;AB;;4;915;1190;;3435;1630;1470;01;998;50;3;false;;Citroen;CITROEN C1 Viistoperä (AB) 4ov 998cm3 A;2;5;CITROEN C1;05;e11*01/116*0238*10;01;091;104;22219;005;VF7PNCFB0D;4346954
M1;2014-08-28;;01;H2S2M1;NZAAA542;20140828;8;4;AC;;5;1735;2275;;4696;1795;1459;02;2143;125;4;true;;Mercedes-Benz;C 220 CDI 4MATIC Farmari (AC) 4ov 2143cm3 A;2;7;C 220 CDI 4MATIC;05;e1*01/116*0457*24;02;601;151;79376;448;WDD2042841;4350233
M1;2014-02-06;;01;3D31;5A250000;20140206;6;4;AA;;5;1505;1980;;4624;1811;1429;02;1995;135;4;true;;BMW;320d Sedan (AA) 4ov 1995cm3 A;2;8;320d;05;e1*2007/46*0314*12;02;092;118;61384;013;WBA3D31060;4353586
M1;2014-12-31;;01;ABCHYA;FM5FM5CF0097MJVR2N1SVW;20141231;9;5;AB;;4;940;1290;;3543;1645;1504;01;999;44;3;false;;Volkswagen, VW;UP! Viistoperä (AB) 5ov 999cm3;1;5;UP!;05;e13*2007/46*1167*10;01;698;95;;961;WVWZZZAAZE;4357103
M1;2014-08-23;;01;124GP2;OZAAB500;20140823;0;5;AC;;5;1395;1920;;4359;1790;1438;01;1595;90;4;true;false;Mercedes-Benz;A 180 Farmari (AC) 5ov 1595cm3 A;2;7;A 180;05;e1*01/116*0470*07;01;564;127;84209;908;WDD1760421;4360497
M1;2014-05-02;;01;JMXXFXX;B66PBX6X66B;20140502;9;4;AF;;5;1355;1789;;4278;1764;1735;01;1598;85;4;false;false;Opel;MOKKA Monikäyttöajoneuvo (AF) 4ov 1598cm3;1;5;MOKKA;05;e4*2007/46*0537*05;01;049;153;38879;026;W0LJC7EE3E;4363555
M1;2014-02-14;;01;D;D01;20140214;1;4;AF;;5;1396;1860;;4380;1806;1590;01;1197;85;4;true;false;Nissan;NISSAN QASHQAI Monikäyttöajoneuvo (AF) 4ov 1197cm3;1;6;NISSAN QASHQAI;05;e11*2007/46*0963*01;01;272;129;54332;678;SJNFEAJ11U;4366730
M1;2014-10-21;;01;HCCWAQ1;QM6B4008R8KH77MGEM0;20100930;9;4;AC;;;1805;2300;2300;4721;1841;1485;02;2967;176;6;true;false;Audi;AUDI A4 ALLROAD QUATTRO Farmari (AC) 4ov 2967cm3;1;6;AUDI A4 ALLROAD QUATTRO;05;e1*2001/116*0430*17;02;167;189;135776;801;WAUZZZ8K7B;4369779
M1;2014-06-26;;01;ZWE186(W);ZWE186L-DWXGBW(3R);20140304;9;4;AF;;5;1410;1865;1865;4560;1760;1475;01;1798;73;4;false;true;Toyota;TOYOTA AURIS Monikäyttöajoneuvo (AF) 4ov 1798cm3;3;;TOYOTA AURIS;17;e11*2007/46*0018*06;01;049;92;56422;027;SB1ZS3JE70;4372860
M1;2014-03-18;;01;ADT270(E);ADT270L-AEFGYW(5H);20140318;6;4;AA;;5;1555;2100;;4710;1810;1480;02;1998;91;4;true;false;Toyota;TOYOTA AVENSIS Sedan (AA) 4ov 1998cm3;1;6;TOYOTA AVENSIS;05;e11*01/116*0331*07;02;790;119;75601;384;SB1BD76L20;4376308
M1;2014-05-08;;02;H2S2M1;NZAAA500;20140508;8;4;AC;;5;1735;2275;;4696;1795;1459;02;2143;125;4;true;false;Mercedes-Benz;C 220 CDI 4MATIC Farmari (AC) 4ov 2143cm3 A;2;7;C 220 CDI 4MATIC;05;e1*01/116*0457*24;02;091;147;193568;007;WDD2042841;4380380
M1;2014-03-28;;01;B;B02;20140328;1;4;AF;;5;1605;2005;;4380;1806;1590;02;1598;96;4;true;false;Nissan;NISSAN QASHQAI Monikäyttöajoneuvo (AF) 4ov 1598cm3;3;;NISSAN QASHQAI;05;e11*2007/46*0963*01;02;405;119;63599;531;SJNFDAJ11U;4383592
M1;2014-04-28;;01;C5P21;M61AZ1;20140428;6;4;AC;;5;1335;1820;;4505;1780;1485;01;1396;73.2;4;false;false;Kia;CEED Farmari (AC) 4ov 1396cm3;1;6;CEED;05;e4*2007/46*0496*04;01;398;136;34053;156;U5YHM811AE;4386380
M1;2015-03-27;;01;124GQ2;HZAAB500;20150108;2;5;AC;;5;1370;1935;;4359;1790;1438;01;1595;90;4;true;false;Mercedes-Benz;A 180 Farmari (AC) 5ov 1595cm3;1;6;A 180;05;e1*01/116*0470*07;01;564;128;;902;WDD1760421;4389485
M1;2014-04-08;;01;MV84;MV848B??;20140408;0;4;AF;;5;1526;1940;;4369;1802;1420;02;1560;84;4;true;false;Volvo;V40 Monikäyttöajoneuvo (AF) 4ov 1560cm3 A;2;6;V40;05;e4*01/116*0076*32;02;297;102;65981;708;YV1MV848BE;4392397
M1;2014-04-30;;01;M1DA1M;5CGAMC;20140430;1;4;AA;;5;1306;1900;;4639;1823;1484;01;998;92;3;true;false;Ford;FOCUS Sedan (AA) 4ov 998cm3;1;6;FOCUS;05;e13*2007/46*1138*11;01;260;117;51869;598;WF0MXXGCBM;4395873
M1;2014-06-10;;01;ACCFGCX1;AD6AD62E083STP07MJSNVR2O;20140610;0;5;AC;;5;1672;2280;;4881;1820;1536;02;1968;130;4;true;false;Volkswagen, VW;PASSAT Farmari (AC) 5ov 1968cm3 A;2;6;PASSAT;05;e1*01/116*0307*35;02;734;149;80884;252;WVWZZZ3CZE;4398880
M1;2014-11-12;;01;C5D31;A61EZ1;20141112;Y;4;AC;;5;1475;1940;;4505;1780;1485;02;1582;94;4;true;false;Kia;CEED Farmari (AC) 4ov 1582cm3 A;2;6;CEED;05;e4*2007/46*0496*05;02;202;149;;207;U5YHN816BE;4402616
M1;2015-08-31;;01;545;61W0;20150831;2;4;AB;;5;1265;1800;;4465;1795;1465;01;1496;74;4;false;false;Mazda;MAZDA 3 Viistoperä (AB) 4ov 1496cm3;1;6;MAZDA 3;05;e11*01/116*0262*11;01;049;119;;021;JMZBM54561;4406078
M1;2014-12-31;;01;ABCJZD;FM6FM62U009N2VR27MM;20141231;9;5;AB;;5;1135;1600;;4074;1682;1476;01;1197;81;4;true;;Volkswagen, VW;POLO Viistoperä (AB) 5ov 1197cm3;1;6;POLO;05;e1*01/116*0510*20;01;257;110;2600;024;WVWZZZ6RZF;4410164
M1;2014-09-11;;01;M1DA1K;5CGALC;20140911;0;4;AB;;5;1279;1900;;4513;1823;1484;01;998;92;3;true;false;Ford;FOCUS Viistoperä (AB) 4ov 998cm3;1;6;FOCUS;05;e13*2007/46*1138*11;01;694;114;31164;111;WF0KXXGCBK;4414053
M1;2014-08-11;;01;GPDA1S;5KACMP;20100310;Y;4;AC;;5;1391;1885;1885;4597;1839;1537;02;1560;66;4;true;false;Ford;FOCUS Farmari (AC) 4ov 1560cm3;1;5;FOCUS;05;e13*01/116*0144*18;02;202;115;165381;215;WF0SXXGCDS;4417764
M1;2014-08-06;;01;J216F0;SJBBAA0;20030131;0;4;AC;;5;1775;2330;2330;4839;1799;1477;02;2685;125;6;true;false;Mercedes-Benz;E 270 CDI Farmari (AC) 4ov 2685cm3 A;2;;E 270 CDI;05;e1*93/81*0033*21;02;609;193;288507;283;WDB2102161;4421451
M1;2014-09-24;;01;NSP13F(MH);NSP130L-CHFNKW(4G);20140924;0;4;AF;;5;1100;1470;;3885;1695;1510;01;1329;73;4;false;false;Toyota;TOYOTA YARIS Monikäyttöajoneuvo (AF) 4ov 1329cm3;1;6;TOYOTA YARIS;05;e11*2007/46*0152*06;01;202;123;57402;207;VNKKJ3D330;4425186
M1;2014-05-19;;05;FW11;5B;20100616;8;4;AA;;5;1700;2235;2235;4899;1860;1464;02;1995;135;4;true;false;BMW;520d Sedan (AA) 4ov 1995cm3 A;2;8;520d;05;e1*2007/46*0363*02;02;049;137;115903;022;WBAFW11020;4428550
M1;2014-07-01;;01;GAC4CJZBX0;FM5FM5AF017N7MJON1VL00VR2;20140701;Y;5;AC;;5;1229;1720;;4357;1799;1491;01;1197;63;4;true;false;Volkswagen, VW;GOLF Farmari (AC) 5ov 1197cm3;1;5;GOLF;05;e1*2007/46*0623*10;01;091;113;42149;005;WVWZZZAUZE;4432332
M1;2014-06-18;;01;274HQ2;HZAAB501;20140618;8;5;AC;;5;1395;1920;;4431;1804;1494;01;1595;115;4;true;false;Mercedes-Benz;GLA 200 Farmari (AC) 5ov 1595cm3;1;6;GLA 200;05;e1*01/116*0470*07;01;425;139;82438;919;WDC1569431;4435874
M1;2014-10-30;;01;D;D01;20141030;2;4;AF;;5;1396;1860;;4380;1806;1590;01;1197;85;4;true;false;Nissan;NISSAN QASHQAI Monikäyttöajoneuvo (AF) 4ov 1197cm3;1;6;NISSAN QASHQAI;05;e11*2007/46*0963*01;01;179;129;;405;SJNFEAJ11U;4439659
